munCode,munName,capital,provinceCode,provinceName
02064,Pozo-Lorente,Pozo-Lorente,02,Albacete
02065,Pozuelo,Pozuelo,02,Albacete
02066,Recueja, La,Recueja, La,02,Albacete
02067,Riópar,Riópar,02,Albacete
02068,Robledo,Robledo,02,Albacete
02069,Roda, La,Roda, La,02,Albacete
02070,Salobre,Salobre,02,Albacete
02071,San Pedro,San Pedro,02,Albacete
02072,Socovos,Socovos,02,Albacete
02073,Tarazona de la Mancha,Tarazona de la Mancha,02,Albacete
02074,Tobarra,Tobarra,02,Albacete
02075,Valdeganga,Valdeganga,02,Albacete
02076,Vianos,Vianos,02,Albacete
02077,Villa de Ves,Villa de Ves,02,Albacete
02078,Villalgordo del Júcar,Villalgordo del Júcar,02,Albacete
02079,Villamalea,Villamalea,02,Albacete
02080,Villapalacios,Villapalacios,02,Albacete
02081,Villarrobledo,Villarrobledo,02,Albacete
02082,Villatoya,Villatoya,02,Albacete
02083,Villavaliente,Villavaliente,02,Albacete
02084,Villaverde de Guadalimar,Villaverde de Guadalimar,02,Albacete
02085,Viveros,Viveros,02,Albacete
02086,Yeste,Yeste,02,Albacete
02901,Pozo Cañada,Pozo Cañada,02,Albacete
03001,Adsubia,Adsubia,03,Alicante/Alacant
03002,Agost,Agost,03,Alicante/Alacant
03003,Agres,Agres,03,Alicante/Alacant
03004,Aigües,Aigües,03,Alicante/Alacant
03005,Albatera,Albatera,03,Alicante/Alacant
03006,Alcalalí,Alcalalí,03,Alicante/Alacant
03007,Alcocer de Planes,Alcocer de Planes,03,Alicante/Alacant
03008,Alcoleja,Alcoleja,03,Alicante/Alacant
03009,Alcoy/Alcoi,Alcoy/Alcoi,03,Alicante/Alacant
03010,Alfafara,Alfafara,03,Alicante/Alacant
03011,Alfàs del Pi, l,Alfàs del Pi, l,03,Alicante/Alacant
03012,Algorfa,Algorfa,03,Alicante/Alacant
03013,Algueña,Algueña,03,Alicante/Alacant
03014,Alacant/Alicante,Alacant/Alicante,03,Alicante/Alacant
03015,Almoradí,Almoradí,03,Alicante/Alacant
03016,Almudaina,Almudaina,03,Alicante/Alacant
03017,Alqueria dAsnar, l,Alqueria dAsnar, l,03,Alicante/Alacant
03018,Altea,Altea,03,Alicante/Alacant
03019,Aspe,Aspe,03,Alicante/Alacant
03020,Balones,Balones,03,Alicante/Alacant
03021,Banyeres de Mariola,Banyeres de Mariola,03,Alicante/Alacant
03022,Benasau,Benasau,03,Alicante/Alacant
03023,Beneixama,Beneixama,03,Alicante/Alacant
03024,Benejúzar,Benejúzar,03,Alicante/Alacant
03025,Benferri,Benferri,03,Alicante/Alacant
03026,Beniarbeig,Beniarbeig,03,Alicante/Alacant
03027,Beniardá,Beniardá,03,Alicante/Alacant
03028,Beniarrés,Beniarrés,03,Alicante/Alacant
03029,Benigembla,Benigembla,03,Alicante/Alacant
03030,Benidoleig,Benidoleig,03,Alicante/Alacant
03031,Benidorm,Benidorm,03,Alicante/Alacant
03032,Benifallim,Benifallim,03,Alicante/Alacant
03033,Benifato,Benifato,03,Alicante/Alacant
03034,Benijófar,Benijófar,03,Alicante/Alacant
03035,Benilloba,Benilloba,03,Alicante/Alacant
03036,Benillup,Benillup,03,Alicante/Alacant
03037,Benimantell,Benimantell,03,Alicante/Alacant
03038,Benimarfull,Benimarfull,03,Alicante/Alacant
03039,Benimassot,Benimassot,03,Alicante/Alacant
03040,Benimeli,Benimeli,03,Alicante/Alacant
03041,Benissa,Benissa,03,Alicante/Alacant
03042,Benitachell/Poble Nou de Benitatxell, el,Benitachell/Poble Nou de Benitatxell, el,03,Alicante/Alacant
03043,Biar,Biar,03,Alicante/Alacant
03044,Bigastro,Bigastro,03,Alicante/Alacant
03045,Bolulla,Bolulla,03,Alicante/Alacant
03046,Busot,Busot,03,Alicante/Alacant
03047,Calp,Calp,03,Alicante/Alacant
03048,Callosa dEn Sarrià,Callosa dEn Sarrià,03,Alicante/Alacant
03049,Callosa de Segura,Callosa de Segura,03,Alicante/Alacant
03050,Campello, el,Campello, el,03,Alicante/Alacant
03051,Campo de Mirra/Camp de Mirra, el,Campo de Mirra/Camp de Mirra, el,03,Alicante/Alacant
03052,Cañada,Cañada,03,Alicante/Alacant
03053,Castalla,Castalla,03,Alicante/Alacant
03054,Castell de Castells,Castell de Castells,03,Alicante/Alacant
03055,Catral,Catral,03,Alicante/Alacant
03056,Cocentaina,Cocentaina,03,Alicante/Alacant
03057,Confrides,Confrides,03,Alicante/Alacant
03058,Cox,Cox,03,Alicante/Alacant
03059,Crevillent,Crevillent,03,Alicante/Alacant
03060,Quatretondeta,Quatretondeta,03,Alicante/Alacant
